brewery_title,brewery_address,brewery_kind,brewery_num,min_people,brewery_img,brewery_lat,brewery_long
산막와이너리,충북 영동군 영동읍 산막골길 31-45 산막와이너리,"과실주, 증류주",010-2989-9815,2,https://www.goingsool.com/upload/d%ED%8F%AC%EB%8F%84%EB%B0%AD.PNG,36.16672721,127.8206047
시나브로 와이너리(불휘농장),충북 영동군 심천면 약목2길 23 시나브로 와이너리(불휘농장),"과실주(와인),증류주",043-742-5275,4,https://www.goingsool.com/upload/Screenshot%202023-06-26%20at%2010.55.08.JPG,36.20235366,127.7203297
양촌감와이너리,충남 논산시 양촌면 황산벌로 1075-21 양촌감와이너리,"과실주, 일반증류주",010-7182-4207,2,https://www.goingsool.com/upload/%EC%96%91%EC%B4%8C%EA%B0%90%201.PNG,36.17784293,127.2012087
농업회사법인 주식회사 추성고을,전남 담양군 용면 추령로 29 농업회사법인 주식회사 추성고을,전통주,010-8911-4336,6,https://www.goingsool.com/upload/mosaSApPaE.jpeg,35.36638658,126.9852867
농업회사법인(유)덕유,전북 무주군 안성면 장무로 1375-7 농업회사법인(유)덕유,과실주,063-323-2355,3,https://www.goingsool.com/upload/down%20%EC%88%A0%EA%B3%A0%EC%A7%80.PNG,35.81482428,127.6306014
대대로영농조합법인,전남 진도군 군내면 명량대첩로 288-23 대대로영농조합법인,진도홍주,010-4116-7720,5,https://www.goingsool.com/upload/%EB%8C%80%EB%8C%80%EB%A1%9C2.JPG,34.5524631,126.3035813
지리산운봉주조영농조합,전북 남원시 운봉읍 황산로 1018 지리산운봉주조영농조합,"탁주, 약주",010-3678-7188,10,https://www.goingsool.com/upload/%EC%A7%80%EB%A6%AC%EC%82%B0%EC%9A%B4%EB%B4%89%EC%A3%BC%EC%A1%B0%20%EC%A0%84%EA%B2%BD1-2%20(1)_%20down.jpg,35.43729191,127.5240133
청산녹수,전남 장성군 장성읍 전고개로 240 청산녹수,전통주(탁주),061-393-4141,10,https://www.goingsool.com/upload/%EC%BA%A1%EC%B2%984.PNG,35.33758722,126.8154305
태인합동주조장,전북 정읍시 태인면 창흥2길 17 태인합동주조장,"막걸리, 증류주",063-539-5031,1,https://www.goingsool.com/upload/image01.png,35.65142937,126.9448036
해창주조장 주식회사 농업회사법인,전남 해남군 화산면 해창길 1 해창주조장 주식회사 농업회사법인,탁주,061-532-5152,1,https://www.goingsool.com/upload/%ED%95%B4%EC%B0%BD%EC%A3%BC%EC%A1%B0%EC%9E%A51.PNG,34.51761653,126.5381112
(유)금정산성토산주,부산 금정구 산성로 409 농업회사법인금정산성,탁주,010-2783-9965,1,https://www.goingsool.com/upload/SNV30003.JPG,35.25174154,129.0518521
농업회사법인(주)솔송주,경남 함양군 지곡면 지곡창촌길 3 솔송주 문화관,"약주, 리큐르, 과실주",010-3533-0465,20,https://www.goingsool.com/upload/%EC%BA%A1%EC%B2%98.PNG,35.56639579,127.7754781
농업회사법인(주)하미앙,경남 함양군 함양읍 삼봉로 442-14 농업회사법인(주)하미앙,산머루 와인,010-5164-2501,2,https://www.goingsool.com/upload/noname01.jpg,35.46918241,127.6717792
명인안동소주,경북 안동시 풍산읍 산업단지6길 6 명인안동소주,증류식 소주,054-856-6903,15,https://www.goingsool.com/upload/%EB%AA%85%EC%9D%B8%20%EC%95%88%EB%8F%99%EC%86%8C%EC%A3%BC%20%ED%98%B8%EB%A6%AC800.jpg,36.60387795,128.5413589
문경주조,경북 문경시 동로면 노은1길 49-15 문경주조,"탁주,약주,기타주류,증류소주",010-5320-9500,1,https://www.goingsool.com/upload/Screenshot%202023-06-26%20at%2010.24.24.JPG,36.77220501,128.314029
뱅꼬레 와이너리((주)한국와인),경북 영천시 금호읍 창산길 100-44 뱅꼬레 와이너리((주)한국와인),과실주(와인),010-3477-9239,4,https://www.goingsool.com/upload/%EC%96%91%EC%A1%B0%EC%9E%A5%20%EC%B5%9C%EC%8B%A0%EC%9D%B4%EB%AF%B8%EC%A7%80%20(1).jpg,35.90698347,128.8826853
수도산 와이너리,경북 김천시 증산면 금곡리3길 29 수도산 와이너리,과실주,010-6403-3077,10,https://www.goingsool.com/upload/image023.png,35.87578591,128.0460039
오미나라,경북 문경시 문경읍 새재로 609 오미나라,와인,054-572-0601,1,https://www.goingsool.com/upload/%EC%98%A4%EB%AF%B8%EB%82%98%EB%9D%BC%ED%88%AC%EC%96%B4.jpg,36.73613331,128.0913475
